Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Data Media Associates,GA,Business Associate,74730,08/24/2023,Hacking/IT Incident,Other,Yes
Detroit Central City Community Mental Health,MI,Healthcare Provider,1412,08/24/2023,Hacking/IT Incident,Email,No
"IEC Group, Inc. dba AmeriBen",ID,Business Associate,74884,08/24/2023,Unauthorized Access/Disclosure,Email,Yes
Milan Eye Center,GA,Healthcare Provider,67336,08/23/2023,Hacking/IT Incident,Network Server,Yes
PRIME THERAPEUTICS LLC,MN,Business Associate,6050,08/23/2023,Hacking/IT Incident,Network Server,Yes
Vecino Health Centers,TX,Healthcare Provider,1339,08/22/2023,Hacking/IT Incident,Network Server,No
Serco Inc. Group Health Plan,VA,Health Plan,10140,08/22/2023,Hacking/IT Incident,Network Server,Yes
Absolute Dental Services,NC,Business Associate,10037,08/21/2023,Hacking/IT Incident,Email,Yes
McAlester Regional Health Center,OK,Healthcare Provider,500,08/21/2023,Hacking/IT Incident,"Desktop Computer, Network Server",No
The University of Massachusetts Chan Medical School,MA,Business Associate,135394,08/21/2023,Hacking/IT Incident,Network Server,Yes
Health Care Service Corporation,IL,Health Plan,220913,08/21/2023,Hacking/IT Incident,Network Server,Yes
Illinois Department of Public Health,IL,Healthcare Provider,126000,08/18/2023,Hacking/IT Incident,Network Server,No
"Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF",IL,Healthcare Provider,2603,08/18/2023,Hacking/IT Incident,Network Server,Yes
UofL Health,KY,Healthcare Provider,8175,08/18/2023,Hacking/IT Incident,Network Server,No
"SouthCoast Medical Group, LLC",GA,Healthcare Provider,501,08/17/2023,Hacking/IT Incident,Network Server,No
Morris Hospital & Healthcare Centers,IL,Healthcare Provider,248943,08/17/2023,Hacking/IT Incident,Network Server,No
The Harris Center for Mental Health and IDD,TX,Healthcare Provider,599367,08/17/2023,Hacking/IT Incident,"Network Server, Other",Yes
"SysInformation Healthcare Services, LLC",TX,Business Associate,501,08/17/2023,Hacking/IT Incident,Network Server,Yes
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,527,08/17/2023,Hacking/IT Incident,Network Server,Yes
"Baesman Group, Inc.",OH,Business Associate,24757,08/17/2023,Hacking/IT Incident,Network Server,Yes
SUNY at Buffalo School of Dental Medicine,NY,Healthcare Provider,765,08/16/2023,Hacking/IT Incident,Network Server,Yes
"Kennedy University Hospital, Inc. t/a Jefferson Health",NJ,Healthcare Provider,4140,08/15/2023,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
