Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Xerox State Healthcare, LLC",TX,Business Associate,2000000,09/10/2014,Unauthorized Access/Disclosure,"Desktop Computer, Email, Laptop, Network Server, Other, Other Portable Electronic Device",Yes
Kmart Corporation,IL,Healthcare Provider,1866,09/10/2014,Unauthorized Access/Disclosure,Paper/Films,No
Wm. Jennings Bryan Dorn VA Medical Center,SC,Healthcare Provider,3637,09/10/2014,Unauthorized Access/Disclosure,Paper/Films,No
Valesco Ventures,FL,Business Associate,82601,09/09/2014,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,Yes
Bon Secours Kentucky,KY,Healthcare Provider,697,09/09/2014,Unauthorized Access/Disclosure,Other,No
"ENT Partners of Texas (legally known as Irving-Coppell Ear, Nose and Throat)",TX,Healthcare Provider,789,09/09/2014,"Loss, Theft","Laptop, Other Portable Electronic Device",No
"Thomas Cristello, Chiropractor PC",NY,Healthcare Provider,914,09/09/2014,Loss,Other Portable Electronic Device,No
The WellPoint Affiliated Covered Entities,IN,Health Plan,1464,09/08/2014,Unauthorized Access/Disclosure,Paper/Films,No
Temple University Physicians,PA,Healthcare Provider,3780,09/05/2014,Theft,Desktop Computer,No
Emdeon,TN,Business Associate,566,09/04/2014,Theft,Paper/Films,Yes
"Bulloch Pediatric Group, LLC",GA,Healthcare Provider,10000,09/04/2014,Unauthorized Access/Disclosure,Paper/Films,No
AltaMed Health Services Corporation,CA,Healthcare Provider,3206,08/29/2014,Theft,"Desktop Computer, Network Server, Paper/Films",No
Memorial Hermann Health System,TX,Healthcare Provider,10604,08/29/2014,Unauthorized Access/Disclosure,Desktop Computer,No
Duke University Health System,NC,Healthcare Provider,10993,08/29/2014,Theft,Other Portable Electronic Device,No
Metropolitan Government of Nashville and Davidson County (Metro) Public Health Department,TN,Health Plan,1717,08/29/2014,Other,Other,No
"The Longstreet Clinic, P. C.",GA,Healthcare Provider,720,08/28/2014,Improper Disposal,Other,No
Group Health Incorporated,NY,Health Plan,802,08/27/2014,Unauthorized Access/Disclosure,Paper/Films,No
Midwest Womens Healthcare Specialist,MO,Healthcare Provider,1376,08/26/2014,Improper Disposal,Paper/Films,No
Aventura Hospital and Medical Center,FL,Healthcare Provider,948,08/26/2014,Theft,Desktop Computer,No
St. Elizabeth's Medical Center,MA,Healthcare Provider,595,08/26/2014,Theft,"Laptop, Other Portable Electronic Device",No
Specialty Clinics Of Georgia - Orthopaedics,GA,Healthcare Provider,2350,08/25/2014,Theft,Paper/Films,No
"Steven A. Goldman, MD Inc.",OH,Healthcare Provider,6141,08/22/2014,Theft,Network Server,No
Oklahoma City Indian Clinic,OK,Healthcare Provider,6000,08/22/2014,Unauthorized Access/Disclosure,Email,No
Community Health Systems Professional Services Corporations,TN,Healthcare Provider,6121158,08/21/2014,Hacking/IT Incident,Network Server,No
Community Health Systems Professional Services Corporation,TN,Business Associate,4500000,08/20/2014,Theft,Network Server,Yes
Dennis Flynn MD,IL,Healthcare Provider,13646,08/19/2014,Theft,Laptop,No
Tri-City Medical Center,CA,Healthcare Provider,500,08/18/2014,Theft,Paper/Films,No
University Health,LA,Healthcare Provider,6073,08/15/2014,Hacking/IT Incident,Network Server,No
Children's Mercy Hospital,MO,Business Associate,4067,08/15/2014,Hacking/IT Incident,Network Server,Yes
Iron Mountain,CA,Business Associate,49714,08/15/2014,"Improper Disposal, Loss, Theft",Paper/Films,Yes
Iron Mountain Incorporated,MA,Business Associate,10000,08/15/2014,"Loss, Theft",Paper/Films,Yes
State of Tennessee State Insurance Plan,TN,Health Plan,60582,08/15/2014,Hacking/IT Incident,Network Server,No
24 ON Physicians PC,GA,Business Associate,10104,08/15/2014,Hacking/IT Incident,Network Server,No
"24 ON Physicians, PC/In Compass Health,Inc.",GA,Business Associate,520,08/14/2014,"Hacking/IT Incident, Other",Network Server,Yes
Iron Mountain Records Management,CA,Business Associate,1674,08/13/2014,"Improper Disposal, Loss, Theft",Other,Yes
"CareAll Management, LLC",TN,Healthcare Provider,28300,08/12/2014,Improper Disposal,Other,No
Kaiser Foundation Health Plan of Colorado,CO,Health Plan,11551,08/12/2014,"Other, Unauthorized Access/Disclosure",Other,No
Apple Valley Care Center,CA,Healthcare Provider,1251,08/12/2014,Hacking/IT Incident,Network Server,No
Onsite Health Diagnostics (OHD),TX,Business Associate,60582,08/08/2014,Hacking/IT Incident,Network Server,Yes
"PST Services Inc, a McKesson Co.",GA,Business Associate,10104,08/08/2014,Hacking/IT Incident,Network Server,Yes
Central Utah Clinic,UT,Healthcare Provider,31677,08/07/2014,Hacking/IT Incident,Network Server,No
Diamond Computing Company,GA,Business Associate,7016,08/07/2014,Unauthorized Access/Disclosure,Network Server,Yes
Jersey City Medical Center,NJ,Healthcare Provider,36400,08/07/2014,Loss,Other Portable Electronic Device,No
MobilexUSA,OH,Healthcare Provider,605,08/06/2014,Loss,Paper/Films,No
Cancer Specialists of Tidewater,VA,Healthcare Provider,2318,07/31/2014,Theft,"Electronic Medical Record, Other",No
"StayWell Health Management, LLC",MN,Business Associate,4487,07/31/2014,Hacking/IT Incident,Network Server,Yes
Rite Aid Store 5256,WA,Healthcare Provider,522,07/30/2014,Theft,Paper/Films,No
Midwest Urological Group,IL,Healthcare Provider,982,07/30/2014,Theft,Laptop,No
"PRN Medical Services, LLC dba Symbius Medical, LLC",AZ,Healthcare Provider,13877,07/29/2014,"Other, Theft, Unauthorized Access/Disclosure","Email, Network Server",No
Dr. Veronica Joann Barber,CA,Business Associate,4000,07/28/2014,Unauthorized Access/Disclosure,Network Server,Yes
"Urological Associates of Southern Arizona, P.C.",AZ,Healthcare Provider,3529,07/25/2014,Improper Disposal,Other,No
Self Regional Healthcare,SC,Healthcare Provider,38906,07/25/2014,Theft,Laptop,No
BioReference Laboratories Inc,NJ,NA,3334,07/23/2014,Unauthorized Access/Disclosure,Network Server,Yes
Midwest Orthopaedic Center SC,IL,Business Associate,680,07/23/2014,Unauthorized Access/Disclosure,Network Server,Yes
Administracion de Seguros de Salud - Triple S Salud Inc (BA),PR,Health Plan,7911,07/18/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Minneapolis VA Health Care System,MN,Health Plan,500,07/17/2014,Unauthorized Access/Disclosure,Paper/Films,No
Bay Area Pain Medical Associates,CA,Healthcare Provider,2780,07/16/2014,Theft,Desktop Computer,No
University of Pennsylvania Health System,PA,Healthcare Provider,661,07/16/2014,Theft,Paper/Films,No
Indian Health Service -Rosebud,MD,Healthcare Provider,620,07/15/2014,Loss,Paper/Films,No
Western Regional Center for Brain and Spine Surgery,NV,Healthcare Provider,12000,07/12/2014,Theft,Network Server,No
"InSync Computer Solutions, Inc.",AL,Business Associate,50918,07/11/2014,Other,Network Server,Yes
"St. Vincent Hospital and Health Care Center, Inc.",IN,Business Associate,63325,07/09/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
Haley Chiropractic Clinic,WA,Healthcare Provider,6000,07/08/2014,Theft,"Desktop Computer, Laptop",No
Highmark Inc.,PA,Business Associate,2589,07/08/2014,Theft,Paper/Films,Yes
Montana Department of Public Health & Human Services,MT,Health Plan,1062509,07/07/2014,Hacking/IT Incident,Network Server,No
D&J Optical Inc.,AL,Health Plan,1100,07/07/2014,Hacking/IT Incident,Desktop Computer,No
VA Long Beach Healthcare System,CA,Healthcare Provider,592,07/04/2014,Unauthorized Access/Disclosure,Paper/Films,No
The Union Labor Life Insurance Company,MD,Healthcare Provider,42713,06/27/2014,Theft,Laptop,No
Alabama Department of Public Health,AL,Healthcare Provider,1200,06/26/2014,Theft,Electronic Medical Record,No
Rady Children's Hospital - San Diego,CA,Healthcare Provider,6307,06/25/2014,Unauthorized Access/Disclosure,"Email, Other",No
Rady Children's Hospital - San Diego,CA,Healthcare Provider,14121,06/24/2014,Unauthorized Access/Disclosure,Email,No
Riverside County Regional Medical Center,CA,Healthcare Provider,563,06/24/2014,Theft,Laptop,No
"Sloane Stecker Physical Therapy, PC",NY,Healthcare Provider,2000,06/24/2014,Theft,Electronic Medical Record,No
"Colorado Neurodiagnostics, PLLC",CO,Healthcare Provider,750,06/23/2014,Theft,Laptop,No
"Abrham Tekola, M.D.,INC",CA,Healthcare Provider,5471,06/20/2014,Theft,Desktop Computer,No
NYU Hospitals Center,NY,Healthcare Provider,872,06/20/2014,Theft,Laptop,No
"NRAD Medical Associates, P.C.",NY,Healthcare Provider,97000,06/20/2014,"Hacking/IT Incident, Unauthorized Access/Disclosure","Desktop Computer, Other Portable Electronic Device",No
"David DiGiallorenzo, D.M.D.",PA,Healthcare Provider,11000,06/19/2014,"Hacking/IT Incident, Unauthorized Access/Disclosure",Other,No
IHS,MD,Health Plan,620,06/19/2014,Unauthorized Access/Disclosure,Other,No
Group Health Plan of Hurley Medical Center,MI,Health Plan,2289,06/16/2014,Unauthorized Access/Disclosure,Email,No
Baylor Medical Center at Carrollton,TX,Healthcare Provider,2874,06/13/2014,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Santa Rosa Memorial Hospital, Privacy Manager Breach",CA,Healthcare Provider,33702,06/13/2014,Theft,Other Portable Electronic Device,No
"Doctors First Choice Billings, Inc.",FL,Business Associate,1831,06/12/2014,Hacking/IT Incident,Other,Yes
"Doctors First Choice Billings, Inc",FL,Business Associate,9255,06/11/2014,Theft,Other,Yes
St. Francis Hospital,GA,Healthcare Provider,1175,06/09/2014,Unauthorized Access/Disclosure,Email,No
Walgreen Co.,IL,Healthcare Provider,540,06/06/2014,Theft,"Desktop Computer, Paper/Films",No
Penn State Milton S. Hershey Medical Center,PA,Healthcare Provider,1801,06/06/2014,Unauthorized Access/Disclosure,"Email, Other Portable Electronic Device",No
Mark A. Gillispie,CA,Healthcare Provider,5845,06/06/2014,Theft,Desktop Computer,No
Open Cities Health Center,MN,Healthcare Provider,1304,06/05/2014,Unauthorized Access/Disclosure,Email,No
Salina Health Education dba Salina Healthcare Center,KS,Healthcare Provider,9640,06/05/2014,Unauthorized Access/Disclosure,Email,No
"NFP Maschino, Hudelson & Associates",OK,Business Associate,3814,05/30/2014,Theft,Laptop,Yes
Triple-S Salud,PR,Health Plan,56853,05/29/2014,Unauthorized Access/Disclosure,Paper/Films,No
Bay Park Hospital,OH,Healthcare Provider,594,05/28/2014,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No
Jamaica Hospital Medical Center,NY,Healthcare Provider,26162,05/23/2014,Unauthorized Access/Disclosure,Desktop Computer,No
Humana Inc [case #15381],KY,Health Plan,2962,05/23/2014,Theft,Other Portable Electronic Device,No
"Sutherland Healthcare Solutions, Inc.",NJ,Business Associate,342197,05/22/2014,Theft,"Email, Laptop",Yes
Elliot Health System,NH,Healthcare Provider,1208,05/21/2014,Theft,Desktop Computer,No
Blue Cross Blue Shield of Michigan Blue Care Network,MI,Business Associate,502,05/19/2014,Unauthorized Access/Disclosure,Email,Yes
Central City Concern,OR,Healthcare Provider,17914,05/19/2014,Unauthorized Access/Disclosure,Other,No
American Health Inc.,PR,Health Plan,11531,05/18/2014,Unauthorized Access/Disclosure,Paper/Films,No
Howard L. Weinstein D.P.M.,TX,Healthcare Provider,1000,05/10/2014,Theft,Laptop,No
"Molina Healthcare of New Mexico, Inc.",NM,Business Associate,4744,05/10/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
Options Counseling Center,NJ,Healthcare Provider,2828,05/09/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
KEYSTONE INSURERS GROUP,IN,Business Associate,1008,05/06/2014,Other,Email,Yes
"Porter, MD, Steven",UT,Healthcare Provider,500,05/06/2014,Improper Disposal,Network Server,No
UMass Memorial Medical Center,MA,Healthcare Provider,2387,05/05/2014,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No
OptumRx,IL,Business Associate,5696,04/30/2014,Theft,Paper/Films,Yes
Boston Medical Center,MA,NA,15265,04/29/2014,Unauthorized Access/Disclosure,Network Server,Yes
Reading Health System,PA,Healthcare Provider,1845,04/29/2014,Loss,Paper/Films,No
Flowers Hospital,AL,Healthcare Provider,629,04/25/2014,Theft,Paper/Films,No
Iowa Medicaid Enterprise,IA,Health Plan,862,04/25/2014,Unauthorized Access/Disclosure,Paper/Films,No
"Ferguson Advertising, Inc.",IN,Business Associate,1361,04/25/2014,Hacking/IT Incident,Network Server,Yes
HealthTexas Provider Network,TX,Healthcare Provider,2742,04/25/2014,Hacking/IT Incident,Email,No
Baylor Regional Medical Center at Plano,TX,Healthcare Provider,1981,04/25/2014,Hacking/IT Incident,Email,No
Baylor Medical Center at Irving,TX,Healthcare Provider,2308,04/25/2014,Hacking/IT Incident,Email,No
Baylor Medical Center at McKinney,TX,Healthcare Provider,1253,04/25/2014,Hacking/IT Incident,Email,No
Sorenson Communications/CaptionCall Group Health Plan,UT,Health Plan,9800,04/24/2014,Hacking/IT Incident,Network Server,Yes
Willis North America Inc. Medical Expense Benefit Plan,NY,Health Plan,4830,04/24/2014,Unauthorized Access/Disclosure,Email,No
Inclusion Research Institute,DC,Business Associate,2200,04/24/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company",MA,Health Plan,8830,04/24/2014,Theft,Other,No
"Ladies First Choice, Inc.",FL,Healthcare Provider,2365,04/23/2014,"Theft, Unauthorized Access/Disclosure",Laptop,No
Centura Health,CO,Healthcare Provider,12286,04/22/2014,Hacking/IT Incident,Email,No
Larsen Dental Care LLC,ID,Healthcare Provider,6900,04/18/2014,Theft,Other Portable Electronic Device,No
VGM Homelink,IA,Business Associate,1400,04/18/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
Shaker Clinic,OH,Healthcare Provider,617,04/18/2014,Loss,Paper/Films,No
"Courier Express/Atlanta, Courier Express/Charlotte & Courier Express US, Inc.",GA,Business Associate,2523,04/17/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films,Yes
"Service Coordination, Inc.",MD,Business Associate,10766,04/17/2014,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,Yes
Greenwood Leflore Hospital,MS,Healthcare Provider,3750,04/16/2014,Theft,Other,No
Administracion de Seguros de Salud - Triple S Salud Inc (BA),PR,Business Associate,46473,04/15/2014,Theft,Other Portable Electronic Device,Yes
Triple S Salud Inc.,PR,Business Associate,7911,04/15/2014,Theft,Other Portable Electronic Device,Yes
IHS,MD,Health Plan,5000,04/15/2014,Unauthorized Access/Disclosure,Other,No
"Healthy Connections, Inc",CA,Healthcare Provider,793,04/14/2014,Loss,Other Portable Electronic Device,No
"University Urology, P.C.",TN,Healthcare Provider,1144,04/14/2014,Unauthorized Access/Disclosure,Paper/Films,No
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,MO,Health Plan,2546,04/11/2014,Unauthorized Access/Disclosure,Other,No
"Amerigroup Texas, Inc.",VA,Business Associate,75026,04/10/2014,Theft,Paper/Films,Yes
Cigna,CT,Business Associate,527,04/09/2014,Loss,Paper/Films,Yes
"Clinical Reference Laboratory, Inc.",KS,Healthcare Provider,979,04/09/2014,Loss,Paper/Films,No
Florida Healthy Kids Corporation,FL,Health Plan,580,04/09/2014,Unauthorized Access/Disclosure,Paper/Films,No
Presence St. Joseph's Medical Center,IL,Healthcare Provider,836,04/04/2014,Other,Paper/Films,No
Michigan Department of Community Health,MI,Healthcare Provider,2595,04/03/2014,Theft,Other Portable Electronic Device,No
American Health Inc.,PR,Health Plan,17776,04/03/2014,Theft,Other,No
Triple-S Salud,PR,Health Plan,5795,04/02/2014,Theft,Other,No
KP Northern CA Department of Research,CA,Healthcare Provider,5178,04/02/2014,Hacking/IT Incident,Network Server,No
Indian Health Service,MD,Health Plan,214000,04/01/2014,Unauthorized Access/Disclosure,Laptop,No
"Midwest Orthopaedics at Rush, LLC",IL,Healthcare Provider,1256,03/31/2014,Hacking/IT Incident,Email,No
"Policy Studies, Inc. / Postal Center International, Inc.",FL,Business Associate,580,03/31/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
Medical Center of Plano,TX,Business Associate,1000,03/31/2014,Unauthorized Access/Disclosure,Other,Yes
"Myriad Genetic Laboratories, Inc.",UT,Healthcare Provider,643,03/29/2014,Unauthorized Access/Disclosure,Email,No
"Palomar Health, Privacy Manager Breach",CA,Healthcare Provider,5499,03/28/2014,Theft,Other Portable Electronic Device,No
Franciscan Medical Group,WA,Healthcare Provider,8300,03/28/2014,Other,Email,No
Jewish Hospital,KY,Healthcare Provider,2992,03/28/2014,Other,Email,No
Susquehanna Health,PA,Healthcare Provider,657,03/27/2014,Unauthorized Access/Disclosure,Email,No
NOVA Chiropractic & Rehab Center,VA,Healthcare Provider,5534,03/27/2014,"Loss, Other",Other Portable Electronic Device,No
Stoetzel's Planet Chiropractic,IL,Healthcare Provider,1000,03/25/2014,Theft,"Laptop, Other Portable Electronic Device",No
"Orlando Health, Inc.",FL,Healthcare Provider,586,03/24/2014,Loss,Other Portable Electronic Device,No
Yellowstone Boys and Girls Ranch,MT,Healthcare Provider,543,03/24/2014,Loss,Paper/Films,No
Talyst,WA,Business Associate,1079,03/24/2014,Theft,Laptop,Yes
Sutherland Healthcare Solutions,CA,Business Associate,55900,03/21/2014,Theft,Desktop Computer,Yes
"HealthPartners Administrators, Inc.",MN,Business Associate,715,03/21/2014,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",Yes
"HealthPartners Administrators, Inc.",MN,Business Associate,1699,03/21/2014,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",Yes
"HealthPartners Administrators, Inc.",MN,Business Associate,796,03/21/2014,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",Yes
HealthPartners Inc,MN,Health Plan,27839,03/21/2014,Unauthorized Access/Disclosure,"Desktop Computer, Laptop, Other Portable Electronic Device",No
Berea College,KY,Healthcare Provider,1000,03/20/2014,Other,Electronic Medical Record,No
"StayWell Health Management, LLC",MN,Business Associate,1746,03/18/2014,Unauthorized Access/Disclosure,Network Server,Yes
