"","entity","state","type","affected","date","incident","location","business_associate"
"227","BHI Energy Health and Welfare Benefits Plan","MA","Health Plan",4049,"10/18/2023","Hacking/IT Incident","Network Server","No"
"228","Helping the Aging Needy and Disabled Inc","TX","Healthcare Provider",628,"10/18/2023","Hacking/IT Incident","Email","No"
"229","Peerstar LLC","PA","Healthcare Provider",11438,"10/16/2023","Hacking/IT Incident","Network Server","No"
"230","Pacific Clear Vision Institute","OR","Healthcare Provider",626,"10/15/2023","Unauthorized Access/Disclosure","Email","No"
"231","Westat, Inc.","MD","Business Associate",50065,"10/13/2023","Hacking/IT Incident","Network Server","Yes"
"232","Atlas Healthcare CT","CT","Healthcare Provider",10831,"10/13/2023","Unauthorized Access/Disclosure","Network Server","No"
"233","NASCO","GA","Business Associate",2956,"10/10/2023","Hacking/IT Incident","Network Server","Yes"
"234","BHS Physician Network, Inc.","TX","Healthcare Provider",1857,"10/10/2023","Hacking/IT Incident","Email","No"
"235","Data Media Associates","GA","Business Associate",2035,"10/09/2023","Unauthorized Access/Disclosure","Paper/Films","Yes"
"236","Fellowship Village","NJ","Healthcare Provider",501,"10/08/2023","Hacking/IT Incident","Network Server","No"
"237","Brooklyn Premier Orthopedics","NY","Healthcare Provider",48459,"10/06/2023","Hacking/IT Incident","Network Server","No"
"238","Neurovative Diagnostics, LLC","TX","Healthcare Provider",1599,"10/05/2023","Unauthorized Access/Disclosure","Email","No"
"239","Carle Health","IL","Healthcare Provider",679,"10/05/2023","Hacking/IT Incident","Network Server","Yes"
"240","Responsive Care Solutions","FL","Business Associate",5200,"10/05/2023","Unauthorized Access/Disclosure","Paper/Films","Yes"
"241","Region 4 South Mental Health Consortium","MN","Healthcare Provider",571,"10/05/2023","Hacking/IT Incident","Network Server","No"
"242","Borgfeld Dental Center PLLC dba Henwood Family Dentistry","TX","Healthcare Provider",7300,"10/02/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"243","Arietis Health, LLC","FL","Business Associate",1975066,"09/29/2023","Hacking/IT Incident","Network Server","Yes"
"244","Prospect Medical Holdings, Inc.","CA","Business Associate",342376,"09/29/2023","Hacking/IT Incident","Network Server","Yes"
"245","Piedmont Healthcare, Inc.","GA","Healthcare Provider",895,"09/29/2023","Hacking/IT Incident","Network Server","Yes"
"246","H3- Hope, Healing, Health Inc.","MI","Healthcare Provider",500,"09/29/2023","Hacking/IT Incident","Email","No"
"247","Physio Logic Medicine, PC","NY","Healthcare Provider",1280,"09/29/2023","Hacking/IT Incident","Network Server","No"
"248","International Business Machines Corporation","NY","Business Associate",630755,"09/29/2023","Unauthorized Access/Disclosure","Other","Yes"
"249","Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC","NY","Healthcare Provider",9580,"09/29/2023","Hacking/IT Incident","Network Server","No"
"250","Mt. Graham Regional Medical Center","AZ","Healthcare Provider",501,"09/29/2023","Hacking/IT Incident","Network Server","No"
"251","Georgia Northside Ear, Nose, and Throat, LLC.","TX","Healthcare Provider",37774,"09/29/2023","Hacking/IT Incident","Email","No"
"252","Greater Dallas Healthcare Enterprises","TX","Healthcare Provider",143833,"09/29/2023","Hacking/IT Incident","Email","No"
"253","South Florida Behavioral Health Network","FL","Business Associate",2729,"09/29/2023","Hacking/IT Incident","Network Server","Yes"
"254","Acadia Health, LLC d/b/a Just Kids Dental","AL","Healthcare Provider",129463,"09/27/2023","Hacking/IT Incident","Network Server","No"
"255","Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators","KY","Healthcare Provider",6814,"09/26/2023","Hacking/IT Incident","Email","No"
"256","Entertainment Community Fund, dba Actors Fund Home","NJ","Healthcare Provider",1110,"09/26/2023","Hacking/IT Incident","Network Server","No"
"257","AIDS Alabama, Inc.","AL","Healthcare Provider",1922,"09/26/2023","Hacking/IT Incident","Network Server","No"
"258","Community First Medical Center","IL","Healthcare Provider",216047,"09/26/2023","Hacking/IT Incident","Network Server","No"
"259","Riverdale Mental Health d/b/a Mosaic Mental Health","NY","Healthcare Provider",7281,"09/25/2023","Hacking/IT Incident","Network Server","No"
"260","Tangoe, Inc.","IN","Health Plan",718,"09/25/2023","Hacking/IT Incident","Network Server","No"
"261","Cook County Health and Hospitals System","IL","Healthcare Provider",500,"09/24/2023","Hacking/IT Incident","Network Server","Yes"
"262","Navvis & Company, LLC","MO","Business Associate",917,"09/22/2023","Hacking/IT Incident","Network Server","Yes"
"263","OrthoAlaska, LLC","AK","Healthcare Provider",176203,"09/22/2023","Hacking/IT Incident","Network Server","No"
"264","Allegheny County, Pennsylvania","PA","Business Associate",1505,"09/22/2023","Hacking/IT Incident","Network Server","Yes"
"265","Blue Cross Blue Shield of Texas","IL","Business Associate",3708,"09/22/2023","Unauthorized Access/Disclosure","Paper/Films","Yes"
"266","Clover Health LLC","NJ","Health Plan",2834,"09/22/2023","Unauthorized Access/Disclosure","Network Server","No"
"267","Indiana University Health","IN","Healthcare Provider",4194,"09/22/2023","Hacking/IT Incident","Network Server","Yes"
"268","Health First, Inc.","FL","Healthcare Provider",14171,"09/22/2023","Hacking/IT Incident","Email","No"
"269","Wellstar Health System","GA","Healthcare Provider",728,"09/21/2023","Hacking/IT Incident","Network Server","Yes"
"270","Lakeview Clinic","MN","Healthcare Provider",624,"09/21/2023","Unauthorized Access/Disclosure","Email","No"
"271","Arkansas Total Care, Inc.","AR","Health Plan",578,"09/21/2023","Hacking/IT Incident","Network Server","Yes"
"272","Elevate Patient Financial Solutions","TX","Business Associate",5364,"09/20/2023","Unauthorized Access/Disclosure","Paper/Films","Yes"
"273","Virginia Dept. of Medical Assistance Services","VA","Health Plan",1229333,"09/18/2023","Hacking/IT Incident","Network Server","Yes"
"274","Erlanger Health, Inc.","TN","Healthcare Provider",2753,"09/18/2023","Hacking/IT Incident","Other","Yes"
"275","Oak Valley Hospital District","CA","Healthcare Provider",283629,"09/15/2023","Hacking/IT Incident","Network Server","No"
"276","Temple University Health System,Inc.","PA","Healthcare Provider",430381,"09/15/2023","Hacking/IT Incident","Network Server","Yes"
"277","Omnicell Specialty Pharmacy Services (OSPS)","TX","Business Associate",661,"09/15/2023","Hacking/IT Incident","Email","Yes"
"278","Founder Project Rx, Inc.","TX","Healthcare Provider",30836,"09/15/2023","Hacking/IT Incident","Email","No"
"279","Peach State Health Plan","GA","Health Plan",1246,"09/15/2023","Hacking/IT Incident","Network Server","Yes"
"280","Advocates for a Healthy Community Inc dba Jordan Valley Community Health Center","MO","Healthcare Provider",2502,"09/15/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"281","VA Dept. of Medical Assistance Services","VA","Health Plan",928,"09/14/2023","Hacking/IT Incident","Network Server","Yes"
"282","Pharm-Pacc Corporation","FL","Business Associate",3749,"09/12/2023","Hacking/IT Incident","Network Server","Yes"
"283","Sutter North Surgery Center","CA","Healthcare Provider",861,"09/08/2023","Hacking/IT Incident","Network Server","Yes"
"284","Laboratory Corporation of America Holdings dba LabCorp","NC","Healthcare Provider",1431,"09/08/2023","Unauthorized Access/Disclosure","Other","No"
"285","Ryders Health Management LLC","CT","Healthcare Provider",7252,"09/07/2023","Hacking/IT Incident","Network Server","No"
"286","Coos Health & Wellness","OR","Healthcare Provider",21971,"09/07/2023","Hacking/IT Incident","Network Server","No"
"287","United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan",315915,"09/07/2023","Unauthorized Access/Disclosure","Network Server","No"
"288","Amerita","KS","Healthcare Provider",219707,"09/05/2023","Hacking/IT Incident","Network Server","No"
"289","Delta Dental of California","CA","Health Plan",501,"09/05/2023","Hacking/IT Incident","Network Server","No"
"290","Bienville Orthopaedic Specialists LLC","MS","Healthcare Provider",242986,"09/05/2023","Hacking/IT Incident","Network Server","No"
"291","Georgia Hand, Shoulder & Elbow, PC","GA","Healthcare Provider",20498,"09/01/2023","Hacking/IT Incident","Email","No"
"292","Bloom Health Centers","MD","Healthcare Provider",1545,"09/01/2023","Unauthorized Access/Disclosure","Email","No"
"293","North Mississippi Medical Center, Inc.","MS","Healthcare Provider",950,"09/01/2023","Hacking/IT Incident","Email","No"
"294","MedMinder Systems, Inc.","MA","Healthcare Provider",12146,"09/01/2023","Hacking/IT Incident","Network Server","No"
"295","Enzo Clinical Labs, Inc.","NY","Healthcare Provider",1700,"08/31/2023","Hacking/IT Incident","Network Server","No"
"296","Mountain View Family Practice, PC","MA","Healthcare Provider",5139,"08/31/2023","Hacking/IT Incident","Electronic Medical Record","No"
"297","Indiana University Health","IN","Health Plan",1191,"08/31/2023","Hacking/IT Incident","Network Server","Yes"
"298","TTEC Healthcare Solutions","CO","Business Associate",2953,"08/30/2023","Unauthorized Access/Disclosure","Other","Yes"
"299","PurFoods, LLC","IA","Healthcare Provider",1229333,"08/25/2023","Hacking/IT Incident","Network Server","No"
"300","Associates in Pediatric Dentistry","LA","Healthcare Provider",9703,"08/25/2023","Hacking/IT Incident","Email","No"
"301","Data Media Associates","GA","Business Associate",74730,"08/24/2023","Hacking/IT Incident","Other","Yes"
"302","Detroit Central City Community Mental Health","MI","Healthcare Provider",1412,"08/24/2023","Hacking/IT Incident","Email","No"
"303","IEC Group, Inc. dba AmeriBen","ID","Business Associate",74884,"08/24/2023","Unauthorized Access/Disclosure","Email","Yes"
"304","Milan Eye Center","GA","Healthcare Provider",67336,"08/23/2023","Hacking/IT Incident","Network Server","Yes"
"305","PRIME THERAPEUTICS LLC","MN","Business Associate",6050,"08/23/2023","Hacking/IT Incident","Network Server","Yes"
"306","Vecino Health Centers","TX","Healthcare Provider",1339,"08/22/2023","Hacking/IT Incident","Network Server","No"
"307","Serco Inc. Group Health Plan","VA","Health Plan",10140,"08/22/2023","Hacking/IT Incident","Network Server","Yes"
"308","Absolute Dental Services","NC","Business Associate",10037,"08/21/2023","Hacking/IT Incident","Email","Yes"
"309","McAlester Regional Health Center","OK","Healthcare Provider",500,"08/21/2023","Hacking/IT Incident","Desktop Computer","No"
"310","The University of Massachusetts Chan Medical School","MA","Business Associate",135394,"08/21/2023","Hacking/IT Incident","Network Server","Yes"
"311","Health Care Service Corporation","IL","Health Plan",220913,"08/21/2023","Hacking/IT Incident","Network Server","Yes"
"312","Illinois Department of Public Health","IL","Healthcare Provider",126000,"08/18/2023","Hacking/IT Incident","Network Server","No"
"313","Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF","IL","Healthcare Provider",2603,"08/18/2023","Hacking/IT Incident","Network Server","Yes"
"314","UofL Health","KY","Healthcare Provider",8175,"08/18/2023","Hacking/IT Incident","Network Server","No"
"315","SouthCoast Medical Group, LLC","GA","Healthcare Provider",501,"08/17/2023","Hacking/IT Incident","Network Server","No"
"316","Morris Hospital & Healthcare Centers","IL","Healthcare Provider",248943,"08/17/2023","Hacking/IT Incident","Network Server","No"
"317","The Harris Center for Mental Health and IDD","TX","Healthcare Provider",599367,"08/17/2023","Hacking/IT Incident","Network Server","Yes"
"318","SysInformation Healthcare Services, LLC","TX","Business Associate",501,"08/17/2023","Hacking/IT Incident","Network Server","Yes"
"319","United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan",527,"08/17/2023","Hacking/IT Incident","Network Server","Yes"
"320","Baesman Group, Inc.","OH","Business Associate",24757,"08/17/2023","Hacking/IT Incident","Network Server","Yes"
"321","SUNY at Buffalo School of Dental Medicine","NY","Healthcare Provider",765,"08/16/2023","Hacking/IT Incident","Network Server","Yes"
"322","Kennedy University Hospital, Inc. t/a Jefferson Health","NJ","Healthcare Provider",4140,"08/15/2023","Unauthorized Access/Disclosure","Other Portable Electronic Device","No"
"323","University of Utah","UT","Health Plan",3914,"08/15/2023","Hacking/IT Incident","Network Server","Yes"
"324","Monocacy Valley Dental Brian K. Motz, DDS, PC","MD","Healthcare Provider",4000,"08/15/2023","Theft","Laptop","No"
"325","Nice Pak Products Inc., Health and Welfare Benefits Plan","NJ","Health Plan",8487,"08/14/2023","Hacking/IT Incident","Network Server","No"
"326","TRACT Radiology","MS","Business Associate",7810,"08/14/2023","Hacking/IT Incident","Network Server","Yes"
"327","VNS Health Plans","NY","Health Plan",103775,"08/14/2023","Hacking/IT Incident","Network Server","Yes"
"328","American National Group, LLC","TX","Health Plan",47711,"08/11/2023","Hacking/IT Incident","Network Server","No"
"329","Colorado Department of Health Care Policy & Financing","CO","Health Plan",4091794,"08/11/2023","Hacking/IT Incident","Network Server","Yes"
"330","Three Crowns Park","IL","Healthcare Provider",516,"08/11/2023","Hacking/IT Incident","Email","No"
"331","El Centro Del Barrio d/b/a CentroMed","TX","Healthcare Provider",350000,"08/11/2023","Hacking/IT Incident","Network Server","No"
"332","EMS Management and Consultants Inc","NC","Business Associate",223598,"08/10/2023","Hacking/IT Incident","Network Server","Yes"
"333","Coastal Orthopedics & Sports Medicine of Southwest Florida","FL","Healthcare Provider",501,"08/10/2023","Hacking/IT Incident","Network Server","No"
"334","iTrust Wellness Group","SC","Healthcare Provider",981,"08/10/2023","Hacking/IT Incident","Email","No"
"335","Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees","IN","Business Associate",5330,"08/10/2023","Hacking/IT Incident","Network Server","Yes"
"336","Virginia Dept. of Medical Assistance Services","VA","Health Plan",423824,"08/09/2023","Hacking/IT Incident","Network Server","Yes"
"337","Sovos Compliance LLC","MA","Business Associate",18261,"08/08/2023","Hacking/IT Incident","Network Server","Yes"
"338","Lurie Children’s Surgical Foundation","IL","Healthcare Provider",1997,"08/08/2023","Hacking/IT Incident","Network Server","Yes"
"339","Harris Eye Care","MI","Healthcare Provider",6267,"08/08/2023","Hacking/IT Incident","Network Server","No"
"340","Premera Blue Cross","WA","Health Plan",33212,"08/08/2023","Hacking/IT Incident","Network Server","Yes"
"341","Spinal and Sports Care Clinic PS","WA","Healthcare Provider",1100,"08/08/2023","Hacking/IT Incident","Network Server","No"
"342","Missouri Department of Social Services","MO","Health Plan",739884,"08/07/2023","Hacking/IT Incident","Network Server","Yes"
"343","Redwood Coast Regional Center","CA","Healthcare Provider",1345,"08/07/2023","Hacking/IT Incident","Email","No"
"344","Cranberry Township Emergency Medical Service","PA","Healthcare Provider",1247,"08/07/2023","Hacking/IT Incident","Network Server","Yes"
"345","Gary Motykie, M.D., a Medical Corporation","CA","Healthcare Provider",3400,"08/05/2023","Hacking/IT Incident","Desktop Computer","No"
"346","Radius Global Solutions","MN","Business Associate",600794,"08/04/2023","Hacking/IT Incident","Network Server","Yes"
